measure,df_group,df_err,ss_groups,ss_err,ms_groups,ms_err,f_stat,p_value
cc,3.0,82.0,5.129109239850714,35.925878279045726,1.709703079950238,0.4381204668176308,3.9023583909900013,0.01167777656225399
cc_nmda,3.0,64.0,2.8775774240589542,33.591823565772565,0.9591924746863181,0.5248722432151963,1.8274779950462183,0.15105272942973372
cc_pchange,3.0,64.0,169403.85610479047,2236487.96094668,56467.95203493015,34945.124389791876,1.6159035923027218,0.19439362084837247
gj,3.0,82.0,42646.0870538008,257283.24677120167,14215.362351266935,3137.600570380508,4.530647554523802,0.005453948660598458
gj_nmda,3.0,64.0,44912.4917684347,257204.8664812014,14970.830589478233,4018.826038768772,3.725175074775014,0.015603139186941596
gj_pchange,3.0,64.0,232027.22235903345,4041551.231563026,77342.40745301115,63149.23799317228,1.2247559893180886,0.30798849048603627
vm,3.0,82.0,51.45019694875141,3645.797633580551,17.150065649583805,44.46094675098233,0.3857332536267885,0.7635577657301995
vm_nmda,3.0,64.0,769.6443870890455,11360.047436193749,256.54812902968183,177.50074119052732,1.4453355366798493,0.23789083065494326
rin,3.0,82.0,54526.578505570666,1397998.6275680705,18175.526168523556,17048.763750830127,1.066090564345967,0.36812707651868726
rin_nmda,3.0,64.0,102934.7843616939,845069.5572455068,34311.594787231305,13204.211831961044,2.5985341059266744,0.0598440346804316
